pregunta,respuesta
¿Qué es el programa de fidelización de Punto Canela?,Es un programa de recompensas donde los clientes acumulan sellos digitales por sus compras y obtienen un café gratis al completar 5 sellos.
¿Cómo participo en el programa?,Debes escanear el código QR que se encuentra en el mostrador o en tu ticket de compra cada vez que realices una compra que cumpla con el monto mínimo.
¿Cuál es el monto mínimo para obtener un sello?,El monto mínimo de compra para obtener un sello es de $100 pesos.
¿Qué pasa si mi compra es menor a $100?,Las compras menores a $100 no acumulan sello dentro del programa de fidelización.
¿Cuántos sellos necesito para el café gratis?,Necesitas acumular 5 sellos para canjear un café gratis de cualquier tamaño mediano estándar.
¿Cómo escaneo el código QR?,"Abre la cámara de tu celular o la app de Punto Canela, apunta al código QR ubicado en el mostrador y sigue las instrucciones en pantalla para registrar tu sello."
¿Necesito una cuenta o registro para participar?,"Sí, la primera vez que escaneas el QR se te pedirá registrar tu nombre y correo electrónico o número de teléfono para vincular tus sellos a tu perfil."
¿Puedo acumular más de un sello por compra?,"No, cada compra que cumpla el monto mínimo otorga únicamente un sello, sin importar cuánto exceda los $100."
¿Los sellos caducan?,"Sí, los sellos acumulados caducan si no se realiza ninguna compra dentro de un periodo de 60 días."
¿Qué pasa si pierdo mi celular o cambio de número?,Puedes contactar al personal de Punto Canela con tu correo registrado para recuperar el historial de tus sellos.
¿Puedo transferir mis sellos a otra persona?,"No, los sellos son personales y no se pueden transferir ni combinar entre distintas cuentas."
¿El café gratis aplica para cualquier bebida del menú?,El café gratis aplica para bebidas de café estándar en tamaño mediano; bebidas especiales o de temporada pueden tener un costo adicional.
¿Puedo usar el programa en cualquier sucursal de Punto Canela?,"Sí, el programa de fidelización es válido en todas las sucursales de Punto Canela."
¿Qué paso si el código QR no funciona?,"Si el código QR presenta algún problema, informa al personal en caja para que registre tu sello manualmente con tu número de cuenta."
¿Cómo canjeo mi café gratis al llegar a 5 sellos?,"Al alcanzar 5 sellos, muestra tu código QR en caja y selecciona la opción de canje antes de realizar tu siguiente pedido."
¿El programa tiene algún costo de inscripción?,"No, el programa de fidelización de Punto Canela es completamente gratuito para todos los clientes."
¿Puedo participar si pago con tarjeta o solo en efectivo?,"El programa aplica sin importar el método de pago, siempre que la compra alcance el monto mínimo de $100."
¿Qué pasa después de canjear mi café gratis?,"Después de canjear tu café gratis, tu contador de sellos se reinicia en 0 para comenzar a acumular de nuevo."
¿Qué datos personales recopila Punto Canela?,"Punto Canela recopila únicamente tu nombre y correo electrónico o número de teléfono, necesarios para vincular tus sellos a tu cuenta."
¿Para qué se usan mis datos personales?,"Tus datos se usan exclusivamente para gestionar tu participación en el programa de fidelización y notificarte promociones relacionadas, si así lo autorizas."
¿Punto Canela comparte mis datos con terceros?,"No, Punto Canela no comparte, vende ni cede tus datos personales a terceras empresas."
¿Puedo solicitar que eliminen mis datos personales?,"Sí, puedes solicitar la eliminación de tus datos y tu cuenta del programa escribiendo al correo de atención al cliente de Punto Canela."
¿Cuánto tiempo conserva Punto Canela mis datos?,"Tus datos se conservan mientras tu cuenta esté activa en el programa; si no hay actividad por más de 12 meses, tus datos podrán ser eliminados."
¿Cuáles son los términos y condiciones del programa?,"Al participar en el programa de fidelización, el cliente acepta el monto mínimo de compra, la vigencia de los sellos y las reglas de canje establecidas por Punto Canela."
¿Punto Canela puede modificar las reglas del programa?,"Sí, Punto Canela se reserva el derecho de modificar en cualquier momento las condiciones del programa, notificando los cambios a través de sus sucursales o canales oficiales."
¿El programa de fidelización tiene fecha de finalización?,"Punto Canela puede finalizar el programa de fidelización en cualquier momento, respetando los sellos ya acumulados por los clientes hasta la fecha del aviso."
¿Qué pasa si se detecta un uso indebido del programa?,Punto Canela se reserva el derecho de cancelar la cuenta y los sellos acumulados de cualquier cliente que haga un uso fraudulento o indebido del programa.
¿El café gratis se puede combinar con otras promociones?,"No, el café gratis obtenido por el programa de fidelización no es acumulable con otras promociones o descuentos vigentes."
